1	11/3/1996	41	5	4	52	30	33	0	0	0	17	39.158,92	2016	330,21	SIM	1.714.650,23	0	0
2	18/3/1996	9	39	37	49	43	41	0	1	2.307.162,23	65	14.424,02	4488	208,91	NÃO	0	0	0
3	25/3/1996	36	30	10	11	29	47	0	2	391.192,51	62	10.515,93	4261	153,01	NÃO	0	0	0
4	1/4/1996	6	59	42	27	1	5	0	0	0	39	15.322,24	3311	180,48	SIM	717.080,75	0	0
5	8/4/1996	1	19	46	6	16	2	0	0	0	98	5.318,10	5399	96,53	SIM	1.342.488,85	0	0
6	15/4/1996	19	40	7	13	22	47	0	0	0	109	7.214,66	7147	110,03	SIM	2.286.166,33	0	0
7	22/4/1996	56	38	21	20	3	5	0	0	0	100	8.746,05	5736	152,48	SIM	3.335.692,28	0	0
8	29/4/1996	53	17	38	4	47	37	0	0	0	60	16.084,11	5262	183,4	SIM	4.493.748,19	0	0
9	6/5/1996	55	43	56	54	8	60	0	0	0	17	60.043,79	2175	469,31	SIM	5.718.641,49	0	0
10	13/5/1996	25	4	18	57	21	38	0	0	0	251	6.638,45	12590	132,35	SIM	13.334.769,81	0	0
11	20/5/1996	25	15	58	37	59	38	0	1	15.591.365,07	148	12.706,05	9442	199,16	NÃO	0	0	0
12	27/5/1996	20	27	43	16	19	4	0	0	0	108	6.791,17	6454	113,64	SIM	880.136,24	0	0
13	3/6/1996	47	32	50	54	18	56	0	0	0	43	20.543,98	2934	301,09	SIM	1.940.205,35	0	0
14	10/6/1996	16	2	27	47	23	53	0	0	0	85	10.458,19	5323	167	SIM	3.006.941,32	0	0
15	17/6/1996	60	12	33	52	35	51	0	0	0	57	17.919,89	3931	259,84	SIM	4.232.661,35	0	0
16	24/6/1996	60	58	49	32	20	34	0	0	0	31	33.307,13	3250	317,7	SIM	5.471.686,62	0	0
17	1/7/1996	10	20	6	19	51	13	0	1	6.789.869,08	144	7.628,37	9376	117,16	NÃO	0	0	0
18	8/7/1996	37	36	56	27	42	23	0	0	0	52	13.763,52	4484	159,61	SIM	858.843,48	0	0
19	15/7/1996	5	25	12	10	60	24	0	0	0	159	5.380,14	9250	92,48	SIM	10.506.266,73	0	0
20	22/7/1996	25	28	30	33	51	11	0	0	0	72	15.486,97	5728	194,67	SIM	11.844.340,83	0	0
